committee_id,report_year,report_type,image_number,filing_form,link_id,line_number,transaction_id,file_number,sub_id,original_sub_id,committee_designated_coordinated_expenditure_indicator,committee_name,entity_type,entity_type_desc,designated_committee_id,designated_committee_name,subordinate_committee_id,payee_name,payee_last_name,payee_middle_name,payee_first_name,aggregate_general_election_expenditure,expenditure_type,expenditure_type_full,expenditure_purpose_full,expenditure_date,expenditure_amount,candidate_id,candidate_name,candidate_prefix,candidate_first_name,candidate_middle_name,candidate_last_name,candidate_suffix,candidate_office,candidate_office_full,candidate_office_state,candidate_office_state_full,candidate_office_district,conduit_committee_id,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,action_code,action_code_full,back_reference_transaction_id,back_reference_schedule_name,memo_code,memo_code_full,memo_text,unlimited_spending_flag,unlimited_spending_flag_full,catolog_code,catolog_code_full,schedule_type,schedule_type_full,load_date,election_cycle
C00003418,1978,10G,78030923987,F3X,3032920021022510674,25,,,3062020110012925544,,,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-21 00:00:00,536.00,H8CO05031,"KRAMER, KENNETH BENTLEY",,KENNETH BENTLEY,,0,,H,HOUSE,CO,COLORADO ,05,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.264,1978
C00003418,1978,30G,78030973521,F3X,3032920021022510675,25,,,3062020110012925547,,,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-31 00:00:00,2000.00,H8FL01016,"BRIGGS, WARREN MARSHALL",,WARREN MARSHALL,,0,,H,HOUSE,FL,FLORIDA,01,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.264,1978
C00003418,1978,M8,78030824844,F3X,3032920021022510668,25,,,3062020110012925558,,,REPUBLICAN NATIONAL COMMITTEE - EXPENDITURES (AKA REPUBLICAN NATIONAL COMMITTEE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-07-18 00:00:00,-1529.00,H8IL22052,"CRANE, DANIEL B.",,DANIEL B.,,0,,H,HOUSE,IL,ILLINOIS,22,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:57.264,1978
C00001305,1978,Q3,78030884860,F3X,3032920021022509122,25,,,3062020110012928598,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-18 00:00:00,277.00,H8VA08035,"HERRITY, JOHN F.",,JOHN F.,,0,,H,HOUSE,VA,VIRGINIA ,08,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.343,1978
C00012302,1978,Q3,78030893933,F3X,3032920021022514821,25,,,3062020110012928910,,,NORTH CAROLINA STATE DEMOCRATIC EXECUTIVE COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-08-11 00:00:00,516.00,S8NC00072,"INGRAM, JOHN RANDOLPH",,JOHN RANDOLPH,,0,,S,SENATE,NC,NORTH CAROLINA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.343,1978
C00014498,1978,Q3,78030883586,F3X,3032920021022515505,25,,,3062020110012928913,,,REPUBLICAN STATE CENTRAL COMMITTEE OF IOWA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-08 00:00:00,1084.00,S8IA00039,"JEPSEN, ROGER",,ROGER,,0,,S,SENATE,IA,IOWA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.346,1978
C00006486,1978,10G,78030932998,F3X,3032920021022512162,25,,,3062020110012929039,,,INDIANA REPUBLICAN STATE CENTRAL COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-16 00:00:00,75.00,H6IN07030,"MYERS, JOHN T.",,JOHN T.,,0,,H,HOUSE,IN,INDIANA,07,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.346,1978
C00075820,1978,10G,78011523049,F3X,3032920021022527575,25,,,3062020110012931164,,,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-20 00:00:00,1084.00,H8NJ07017,"ROUKEMA, MARGARET S.",,MARGARET S.,,0,,H,HOUSE,NJ,NEW JERSEY,07,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.752,1978
C00075820,1978,30G,78011571656,F3X,3032920021022527580,25,,,3062020110012931182,,,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-24 00:00:00,2600.00,H8NY18076,"GREEN, SEDGWICK WILLIAM",,SEDGWICK WILLIAM,,0,,H,HOUSE,NY,NEW YORK,18,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.752,1978
C00001305,1978,30G,78030984134,F3X,3032920021022509118,25,,,3062020110012930440,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-11-15 00:00:00,1.00,H6VA02040,"WHITEHURST, G. WILLIAM",,G. WILLIAM,,0,,H,HOUSE,VA,VIRGINIA ,02,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.356,1978
C00001305,1978,Q3,78030884855,F3X,3032920021022509122,25,,,3062020110012930441,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-29 00:00:00,25.00,H6VA01018,"TRIBLE, PAUL SEWARD JR.",,PAUL SEWARD JR.,,0,,H,HOUSE,VA,VIRGINIA ,01,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.356,1978
C00031054,1978,Q3,78030895150,F3X,3032920021022519090,25,,,3062020110012931002,,,DEMOCRATIC CAMPAIGN COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-11 00:00:00,65.00,H8MI11098,"MCLEOD, KEITH",,KEITH,,0,,H,HOUSE,MI,MICHIGAN,11,,,,,,,,A,ADD,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.36,1978
C00031054,1978,30G,78030982632,F3X,3032920021022519092,25,,,3062020110012931004,,,DEMOCRATIC CAMPAIGN COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-30 00:00:00,30.00,S8MI00158,"LEVIN, CARL",,CARL,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:37:02.36,1978
C00027466,1978,YE,79020013024,F3X,3032920021022518326,25,,,3062020110012934399,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-12-18 00:00:00,2500.00,S8SD00024,"PRESSLER, LARRY",,LARRY,,0,,S,SENATE,SD,SOUTH DAKOTA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:55.788,1978
C00010603,1978,10G,78030923347,F3X,3032920021022513986,25,,,3062020110012915621,,,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-06 00:00:00,173.00,H6CA41109,"GOLDEN, KING JR.",,KING JR.,,0,,H,HOUSE,CA,CALIFORNIA ,41,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.666,1978
C00012732,1978,Q3,78030874558,F3X,3032920021022515075,25,,,3062020110012916726,,,TEXAS REPUBLICAN CONGRESSIONAL COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-12 00:00:00,251.00,S2TX00023,"TOWER, JOHN GOODWIN",,JOHN GOODWIN,,0,,S,SENATE,TX,TEXAS,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.681,1978
C00003145,1978,10G,78030943257,F3X,3032920021022510447,25,,,3062020110012917985,,,OKLAHOMA REPUBLICAN STATE COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-23 00:00:00,1000.00,S8OK00050,"KAMM, ROBERT B.",,ROBERT B.,,0,,S,SENATE,OK,OKLAHOMA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.699,1978
C00027466,1978,10G,78020152780,F3X,3032920021022518336,25,,,3062020110012917999,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-10-11 00:00:00,2728.00,S8MI00133,"GRIFFIN, ROBERT P.",,ROBERT P.,,0,,S,SENATE,MI,MICHIGAN,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.699,1978
C00012302,1978,Q3,78030893934,F3X,3032920021022514821,25,,,3062020110012918554,,,NORTH CAROLINA STATE DEMOCRATIC EXECUTIVE COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-08 00:00:00,221.00,S8NC00072,"INGRAM, JOHN RANDOLPH",,JOHN RANDOLPH,,0,,S,SENATE,NC,NORTH CAROLINA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.709,1978
C00010603,1978,Q3,78030873277,F3X,3032920021022513981,25,,,3062020110012918556,,,DNC SERVICES CORPORATION/DEMOCRATIC NATIONAL COMMITTEE,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-24 00:00:00,144.00,H8ME02037,"GARTLEY, MARKHAM L.",,MARKHAM L.,,0,,H,HOUSE,ME,MAINE,02,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.709,1978
C00001305,1978,30G,78030984130,F3X,3032920021022509118,25,,,3062020110012919596,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-11-15 00:00:00,127.00,S8VA00107,"WARNER, JOHN WILLIAM",,JOHN WILLIAM,,0,,S,SENATE,VA,VIRGINIA ,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.723,1978
C00027466,1978,M10,78020151318,F3X,3032920021022518337,25,,,3062020110012920675,,,NATIONAL REPUBLICAN SENATORIAL COMMITTEE - EXPENDITURES *,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-09-07 00:00:00,191.00,S8MN00131,"DURENBERGER, DAVID",,DAVID,,0,,S,SENATE,MN,MINNESOTA,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.74,1978
C00001305,1978,YE,79031194466,F3X,3032920021022509126,25,,,3062020110012921776,,,REPUBLICAN PARTY OF VIRGINIA,,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-01-31 00:00:00,44.00,S8VA00107,"WARNER, JOHN WILLIAM",,JOHN WILLIAM,,0,,S,SENATE,VA,VIRGINIA ,00,,,,,,,,N,NO CHANGE,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.754,1978
C00020602,1978,Q3,79031252658,F3X,3032920021022516553,25,,,3062020110012923188,,,REPUBLICAN STATE CENTRAL COMMITTEE CALIFORNIA-FEDERAL ELECTION ACCT(RSCC CONG TARGET CMTE),,,,,,,,,,,24C,COORDINATED EXPENDITURE,COORDINATED EXPENDITURE,1978-07-17 00:00:00,292.00,H8CA13013,"O'KEEFE, DANIEL P.",,DANIEL P.,,0,,H,HOUSE,CA,CALIFORNIA ,13,,,,,,,,A,ADD,,,,,,,,,,SF,ITEMIZED COORD EXPEND MADE BY POL PTY COMM OR DESG AGENT ON BEHALF OF CAND FOR FED OFFICE,2020-01-10 03:36:52.771,1978
